,Month,Series_ID,Title,Employed,Moving avg,Diff
50367,2017 Dec,CEU4200000001,Retail Trade,16305.9,15844.92727,-460.9727273
50368,2018 Jan,CEU4200000001,Retail Trade,15718.6,15853.17273,134.5727273
50369,2018 Feb,CEU4200000001,Retail Trade,15577,15847.9,270.9
50370,2018 Mar,CEU4200000001,Retail Trade,15610.8,15841.00909,230.2090909
50371,2018 Apr,CEU4200000001,Retail Trade,15681.4,15833.90909,152.5090909
50372,2018 May,CEU4200000001,Retail Trade,15797.2,15829.74545,32.54545455
50373,2018 Jun,CEU4200000001,Retail Trade,15844.9,15830.09091,-14.80909091
50374,2018 Jul,CEU4200000001,Retail Trade,15854.5,15834.11818,-20.38181818
50375,2018 Aug,CEU4200000001,Retail Trade,15834.9,15848.26364,13.36363636
50376,2018 Sep,CEU4200000001,Retail Trade,15680.6,15835.6,155
50377,2018 Oct,CEU4200000001,Retail Trade,15796.5,15791.11818,-5.381818182
50378,2018 Nov,CEU4200000001,Retail Trade,16291.3,15789.79091,-501.5090909
50379,2018 Dec,CEU4200000001,Retail Trade,16309.2,15843.48182,-465.7181818
50380,2019 Jan,CEU4200000001,Retail Trade,15753.5,15859.52727,106.0272727
50381,2019 Feb,CEU4200000001,Retail Trade,15567.4,15855.58182,288.1818182
50382,2019 Mar,CEU4200000001,Retail Trade,15576.6,15846.05455,269.4545455
50383,2019 Apr,CEU4200000001,Retail Trade,15624.9,15830.39091,205.4909091
50384,2019 May,CEU4200000001,Retail Trade,15691.6,15816.45455,124.8545455
50385,2019 Jun,CEU4200000001,Retail Trade,15775.5,15809.27273,33.77272727
50386,2019 Jul,CEU4200000001,Retail Trade,15785.9,15804.81818,18.91818182
50387,2019 Aug,CEU4200000001,Retail Trade,15749.5,15811.08182,61.58181818
50388,2019 Sep,CEU4200000001,Retail Trade,15611.3,15794.24545,182.9454545
